study,year,location,state,elevation,region,inc_check,inc,scl_check,scl,yld_check,design_yld,fungicide2,mean_yld,mean_yld_qmr,mean_yld_sd
35,2012/2013,Jataí,GO,749,Northern,12.13,0.75,3580.77,276.92,3167.94,3,FLUZ-2,3065.35,113974.07,270.6943529
35,2012/2013,Jataí,GO,749,Northern,12.13,1.63,3580.77,261.54,3167.94,3,FLUO-2,3198.37,113974.07,207.5021429
35,2012/2013,Jataí,GO,749,Northern,12.13,1.75,3580.77,453.85,3167.94,3,PROCY-2,3331.61,113974.07,200.5123055
35,2012/2013,Jataí,GO,749,Northern,12.13,12.13,3580.77,3580.77,3167.94,3,AACHECK-0,3167.94,113974.07,209.727031
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,0.33,687.50,18.75,1872.39,3,FLUO-2,2506.97,137943.42,92.42418445
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,0.33,687.50,62.50,1872.39,3,FLUZ-2,2483.6,137943.42,350.9889193
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,0.33,687.50,75.00,1872.39,3,DIMO+BOSC-2,2380.15,137943.42,473.3703446
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,0.65,687.50,112.50,1872.39,3,PROCY-2,2337.42,137943.42,330.5720281
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,7.23,7.23,687.50,687.50,1872.39,3,AACHECK-0,1872.39,137943.42,378.2327071
37,2012/2013,Faxinal,PR,820,Southern,58.25,19,7244.00,3692.00,3393.33,3,DIMO+BOSC-2,4163.59,153279.48,445.863306
37,2012/2013,Faxinal,PR,820,Southern,58.25,22,7244.00,2348.00,3393.33,3,FLUO-2,4036.01,153279.48,250.1845836
37,2012/2013,Faxinal,PR,820,Southern,58.25,40.75,7244.00,4364.00,3393.33,3,FLUZ-2,3936.61,153279.48,317.0694922
37,2012/2013,Faxinal,PR,820,Southern,58.25,42,7244.00,5648.00,3393.33,3,PROCY-2,3781.97,153279.48,280.8644179
37,2012/2013,Faxinal,PR,820,Southern,58.25,58.25,7244.00,7244.00,3393.33,3,AACHECK-0,3393.33,153279.48,188.5283548
38,2012/2013,Uberlândia,MG,947,Northern,21.68,0.5,7564.00,NA,2988.75,3,FLUO-2,3410,13242.53,189.7805751
