study,year,location,state,elevation,region,fungicide2,inc_check,scl_check,design_scl,mean_scl,mean_scl_qmr,mean_scl_sd
30,2011/2012,Faxinal,PR,994,Southern,FLUO-2,36.75,14956,5,2868,22602159.64,1593.085057
30,2011/2012,Faxinal,PR,995,Southern,FLUZ-2,36.75,14956,5,6152,22602159.64,3007.710092
30,2011/2012,Faxinal,PR,997,Southern,PROCY-2,36.75,14956,5,8564,22602159.64,6304.449223
30,2011/2012,Faxinal,PR,998,Southern,TIOF-4,36.75,14956,5,14428,22602159.64,5869.286158
35,2012/2013,Jataí,GO,749,Northern,AACHECK-0,12.13,3580.77,4,3580.77,443665.65,1368.8778
35,2012/2013,Jataí,GO,749,Northern,DIMO+BOSC-2,12.13,3580.77,4,107.69,443665.65,96.4866037
35,2012/2013,Jataí,GO,749,Northern,FLUO-2,12.13,3580.77,4,261.54,443665.65,404.1207857
35,2012/2013,Jataí,GO,749,Northern,FLUZ-2,12.13,3580.77,4,276.92,443665.65,159.881613
35,2012/2013,Jataí,GO,749,Northern,PROCY-2,12.13,3580.77,4,453.85,443665.65,369.5511431
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,AACHECK-0,7.23,687.5,4,687.5,58944.13,700.7436526
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,DIMO+BOSC-2,7.23,687.5,4,75,58944.13,88.9756521
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,FLUO-2,7.23,687.5,4,18.75,58944.13,23.93567769
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,FLUZ-2,7.23,687.5,4,62.5,58944.13,75
36,2012/2013,São Miguel do Passa Quatro,GO,1027,Northern,PROCY-2,7.23,687.5,4,112.5,58944.13,116.368667
37,2012/2013,Faxinal,PR,820,Southern,AACHECK-0,58.25,7244,4,7244,2367271.212,1529.862739
37,2012/2013,Faxinal,PR,820,Southern,DIMO+BOSC-2,58.25,7244,4,3692,2367271.212,1246.483052
37,2012/2013,Faxinal,PR,820,Southern,FLUO-2,58.25,7244,4,2348,2367271.212,735.7445209
37,2012/2013,Faxinal,PR,820,Southern,FLUZ-2,58.25,7244,4,4364,2367271.212,1081.88724
37,2012/2013,Faxinal,PR,820,Southern,PROCY-2,58.25,7244,4,5648,2367271.212,2453.83781
38,2012/2013,Uberlândia,MG,947,Northern,AACHECK-0,21.68,7564,6,7564,62501.9513,543.2813881
38,2012/2013,Uberlândia,MG,947,Northern,DIMO+BOSC-2,21.68,7564,6,758.75,62501.9513,243.3233445
38,2012/2013,Uberlândia,MG,947,Northern,PROCY-2,21.68,7564,6,165,62501.9513,142.0093894
39,2012/2013,Ponta Grossa,PR,1021,Southern,AACHECK-0,14.69,6729.63,4,6729.63,7425961.778,3038.646066
39,2012/2013,Ponta Grossa,PR,1021,Southern,DIMO+BOSC-2,14.69,6729.63,4,457.87,7425961.778,540.4116515
39,2012/2013,Ponta Grossa,PR,1021,Southern,FLUO-2,14.69,6729.63,4,1542.59,7425961.778,1151.620595
39,2012/2013,Ponta Grossa,PR,1021,Southern,FLUZ-2,14.69,6729.63,4,4262.04,7425961.778,5248.455583
39,2012/2013,Ponta Grossa,PR,1021,Southern,PROCY-2,14.69,6729.63,4,2593.06,7425961.778,2324.15025
42,2013/2014,Mauá da Serra,PR,909,Southern,AACHECK-0,33.25,4340,1,4340,404994.8718,837.4962686
42,2013/2014,Mauá da Serra,PR,909,Southern,CARB+PROCY-2,33.25,4340,1,512,404994.8718,495.7015231
42,2013/2014,Mauá da Serra,PR,909,Southern,DIMO+BOSC-2,33.25,4340,1,252,404994.8718,208.614477
42,2013/2014,Mauá da Serra,PR,909,Southern,FLUO-2,33.25,4340,1,568,404994.8718,772.735401
42,2013/2014,Mauá da Serra,PR,909,Southern,FLUZ-2,33.25,4340,1,796,404994.8718,194.62785
42,2013/2014,Mauá da Serra,PR,909,Southern,PROCY-2,33.25,4340,1,512,404994.8718,502.3146424
42,2013/2014,Mauá da Serra,PR,909,Southern,TIOF-4,33.25,4340,1,1332,404994.8718,1254.958167
43,2013/2014,Ponta Grossa,PR,1021,Southern,AACHECK-0,41.25,4935.71,1,4935.71,1105826.636,2175.353634
43,2013/2014,Ponta Grossa,PR,1021,Southern,CARB+PROCY-2,41.25,4935.71,1,1187.3,1105826.636,438.4248434
43,2013/2014,Ponta Grossa,PR,1021,Southern,DIMO+BOSC-2,41.25,4935.71,1,2172.62,1105826.636,449.2790245
43,2013/2014,Ponta Grossa,PR,1021,Southern,FLUO-2,41.25,4935.71,1,2315.87,1105826.636,452.3206123
43,2013/2014,Ponta Grossa,PR,1021,Southern,FLUZ-2,41.25,4935.71,1,2538.49,1105826.636,733.7928598
43,2013/2014,Ponta Grossa,PR,1021,Southern,PROCY-2,41.25,4935.71,1,2039.68,1105826.636,723.7178537
43,2013/2014,Ponta Grossa,PR,1021,Southern,TIOF-4,41.25,4935.71,1,5443.65,1105826.636,1380.820708
45,2014/2015,Rio Verde,GO,921,Northern,AACHECK-0,27.25,354.17,1,354.17,7622.7842,105.7398975
45,2014/2015,Rio Verde,GO,921,Northern,CARB+PROCY-2,27.25,354.17,1,97.23,7622.7842,54.7153126
45,2014/2015,Rio Verde,GO,921,Northern,DIMO+BOSC-2,27.25,354.17,1,34.73,7622.7842,13.89
45,2014/2015,Rio Verde,GO,921,Northern,FLUO-2,27.25,354.17,1,104.17,7622.7842,17.65011497
45,2014/2015,Rio Verde,GO,921,Northern,FLUZ-2,27.25,354.17,1,90.28,7622.7842,11.12784907
